,strikes,call_prices,put_prices,market_prices
0,3100,412.2,1,3506.883336
1,3150,352,1.6,3496.013712
2,3200,332,2.6,3524.944089
3,3250,260.2,4,3501.674465
4,3300,218,6.6,3506.804842
5,3350,168.2,11.4,3502.135218
6,3400,127.8,19.4,3503.665594
7,3450,90.4,34,3501.595971
8,3500,61.4,54,3502.526347
9,3550,38.2,82.2,3501.056724
10,3600,24,117,3501.9871
11,3650,14.4,157,3502.317476
12,3700,9,204,3499.847853
13,3750,5,246,3503.778229
14,3800,3,292.6,3505.108606
15,3850,2,333,3513.638982
16,3900,1.2,386.6,3509.169358
17,3950,1,432.6,3512.899735
18,4000,1,481.6,3513.830111
19,4050,0.6,538,3506.960487
20,4100,0.6,572.4,3522.490864
21,4150,0.4,660.4,3484.22124
22,4200,0.6,719.8,3474.951617
23,4250,0.6,719.8,3524.881993
24,3100,397.6,5.4,3482.812603
25,3150,375,7.4,3508.061193
26,3200,325.4,10,3505.709784
27,3250,310.6,14,3536.758374
28,3300,237,20.4,3506.606964
29,3350,220,29,3530.855555
30,3400,160,40.8,3508.904145
31,3450,124,58.2,3505.352735
32,3500,96.4,78.8,3507.001326
33,3550,73,106,3506.249916
34,3600,55.4,136.6,3507.898507
35,3650,41.6,174,3506.547097
36,3700,31.6,215.8,3504.595687
37,3750,24.8,237.2,3526.244278
38,3800,18.8,300.8,3506.492868
39,3850,15.2,328.4,3525.141458
40,3900,12,394.8,3505.390049
41,3950,9.6,460.6,3487.038639
42,4000,8.6,487,3509.487229
43,4050,7,529,3515.73582
44,4100,6.4,583.8,3510.18441
45,4150,5.4,451,3691.833001
46,4200,5.2,661,3531.481591
47,4300,4.4,761.2,3530.178772
48,4400,3,880,3509.675952
49,4500,2.6,997,3491.973133
50,4600,2.2,1050,3538.270314
51,4700,2,1174,3513.767495
52,3100,386.2,9.2,3461.538685
53,3150,347.8,12.2,3469.889309
54,3200,342.4,25,3501.439933
55,3250,300.6,21.6,3512.790557
56,3300,259.6,45,3498.141181
57,3350,224.2,43.6,3513.891805
58,3400,202.2,59.4,3525.842429
59,3450,147.8,79.4,3501.193053
60,3500,136.6,98.2,3520.943677
61,3550,104.4,122.8,3513.894301
62,3600,86.4,143.6,3524.844925
63,3650,66.2,191.4,3506.595549
64,3700,56.2,226.2,3511.546173
65,3750,44.8,263.6,3512.496797
66,3800,35,303.4,3512.647421
67,3850,27,365.2,3492.598045
68,3900,23.4,388.6,3515.348669
69,3100,466,20.2,3521.50228
70,3200,372.8,31,3516.718483
71,3300,292.4,51.6,3514.934686
72,3400,220.8,81,3513.150888
73,3500,166.4,119.8,3519.167091
74,3600,117.4,168.2,3520.983293
75,3700,83,238,3515.999496
76,3800,58,313,3515.215698
77,3900,43.4,378.2,3534.631901
78,4000,31.6,470,3530.248104
79,4100,22.6,584,3506.464306
80,4200,19,665.4,3520.680509
81,4300,15,565.8,3715.496711
82,4400,11.2,840.8,3535.912914
83,4500,9.6,961.2,3513.129117
84,4600,8.6,1031,3541.545319
85,3100,485.6,43.6,3501.609696
86,3200,437,62.6,3532.706783
87,3300,337.8,87.6,3507.20387
88,3400,262.4,119.2,3498.900957
89,3500,209.4,162.6,3501.198043
90,3600,160.6,215,3498.69513
91,3700,121.8,275.2,3498.392217
92,3800,91.6,338,3504.089304
93,3900,67,415,3501.186391
94,4000,52.6,487.2,3513.283478
95,4100,39.8,589.6,3496.780565
96,4200,34,696.2,3483.077652
97,4300,27,810,3460.974739
98,4400,23,886.4,3479.271826
99,4500,19.2,982.6,3477.968913
100,3100,504.6,58.4,3490.050796
101,3200,429.8,81,3490.839531
102,3300,362,106.8,3495.428267
103,3400,299.4,137.8,3500.017002
104,3500,246.4,181.2,3501.805737
105,3600,192,232,3494.794473
106,3700,157.6,292.4,3498.183208
107,3800,122.8,357.6,3496.371943
108,3900,101,408.2,3522.160679
109,4000,78.4,543,3462.949414
110,4100,62,585,3502.738149
111,4200,50,683,3490.926885
